fuzzer,domain,dns_a,dns_aaaa
addition,adt-academie.nl,,
addition,adu-academie.nl,,
addition,adv-academie.nl,,
addition,adw-academie.nl,,
addition,adx-academie.nl,,
addition,ady-academie.nl,,
addition,adz-academie.nl,,
bitsquatting,ad-aaademie.nl,,
bitsquatting,ad-abademie.nl,,
bitsquatting,ad-acadamie.nl,,
bitsquatting,ad-acaddmie.nl,,
bitsquatting,ad-acade-ie.nl,,
bitsquatting,ad-acadeeie.nl,,
bitsquatting,ad-acadeiie.nl,,
bitsquatting,ad-acadelie.nl,,
bitsquatting,ad-academae.nl,,
bitsquatting,ad-academhe.nl,,
bitsquatting,ad-academia.nl,,
bitsquatting,ad-academid.nl,,
bitsquatting,ad-academig.nl,,
bitsquatting,ad-academim.nl,,
bitsquatting,ad-academiu.nl,,
bitsquatting,ad-academke.nl,,
bitsquatting,ad-academme.nl,,
bitsquatting,ad-academye.nl,,
bitsquatting,ad-acadeoie.nl,,
bitsquatting,ad-acadgmie.nl,,
bitsquatting,ad-acadmmie.nl,,
bitsquatting,ad-acadumie.nl,,
bitsquatting,ad-acaeemie.nl,,
bitsquatting,ad-acafemie.nl,,
bitsquatting,ad-acalemie.nl,,
bitsquatting,ad-acatemie.nl,,
bitsquatting,ad-accdemie.nl,,
bitsquatting,ad-acedemie.nl,,
bitsquatting,ad-acidemie.nl,,
bitsquatting,ad-acqdemie.nl,,
bitsquatting,ad-agademie.nl,,
bitsquatting,ad-akademie.nl,,
bitsquatting,ad-asademie.nl,,
bitsquatting,ad-ccademie.nl,,
bitsquatting,ad-ecademie.nl,,
bitsquatting,ad-icademie.nl,,
bitsquatting,ad-qcademie.nl,,
bitsquatting,admacademie.nl,,
bitsquatting,ae-academie.nl,,
bitsquatting,af-academie.nl,,
bitsquatting,al-academie.nl,,
bitsquatting,at-academie.nl,,
bitsquatting,cd-academie.nl,,
bitsquatting,ed-academie.nl,,
bitsquatting,id-academie.nl,213.249.67.10,2a01:448:2001::10
bitsquatting,qd-academie.nl,,
homoglyph,ab-acabemie.nl,,
homoglyph,ab-acaclemie.nl,,
homoglyph,ab-acadcmie.nl,,
homoglyph,ab-academ1e.nl,,
homoglyph,ab-academic.nl,,
homoglyph,ab-academie.nl,,
homoglyph,ab-academle.nl,,
homoglyph,ab-acadenie.nl,,
homoglyph,ab-acadennie.nl,,
homoglyph,ab-acadernie.nl,,
homoglyph,ab-acadlemie.nl,,
homoglyph,ab-aeademie.nl,,
homoglyph,abl-academie.nl,,
homoglyph,ac1-academie.nl,,
homoglyph,aci-academie.nl,,
homoglyph,acl-acabemie.nl,,
homoglyph,acl-acaclemie.nl,,
homoglyph,acl-acadcmie.nl,,
homoglyph,acl-academ1e.nl,,
homoglyph,acl-academic.nl,,
homoglyph,acl-academie.nl,,
homoglyph,acl-academle.nl,,
homoglyph,acl-acadenie.nl,,
homoglyph,acl-acadennie.nl,,
homoglyph,acl-acadernie.nl,,
homoglyph,acl-acadlemie.nl,,
homoglyph,acl-aeademie.nl,,
homoglyph,acll-academie.nl,,
homoglyph,ad-acabcmie.nl,,
homoglyph,ad-acabem1e.nl,,
homoglyph,ad-acabemic.nl,,
homoglyph,ad-acabemie.nl,,
homoglyph,ad-acabemle.nl,,
homoglyph,ad-acabenie.nl,,
homoglyph,ad-acabennie.nl,,
homoglyph,ad-acabernie.nl,,
homoglyph,ad-acablemie.nl,,
homoglyph,ad-acac1emie.nl,,
homoglyph,ad-acaciemie.nl,,
homoglyph,ad-acaclcmie.nl,,
homoglyph,ad-acaclem1e.nl,,
homoglyph,ad-acaclemic.nl,,
homoglyph,ad-acaclemie.nl,,
homoglyph,ad-acaclemle.nl,,
homoglyph,ad-acaclenie.nl,,
homoglyph,ad-acaclennie.nl,,
homoglyph,ad-acaclernie.nl,,
homoglyph,ad-acacllemie.nl,,
homoglyph,ad-acad1emie.nl,,
homoglyph,ad-acadcm1e.nl,,
homoglyph,ad-acadcmic.nl,,
homoglyph,ad-acadcmie.nl,,
homoglyph,ad-acadcmle.nl,,
homoglyph,ad-acadcnie.nl,,
homoglyph,ad-acadcnnie.nl,,
homoglyph,ad-acadcrnie.nl,,
homoglyph,ad-academ1c.nl,,
homoglyph,ad-academ1e.nl,,
homoglyph,ad-academic.nl,,
homoglyph,ad-academlc.nl,,
homoglyph,ad-academle.nl,,
homoglyph,ad-academmie.nl,,
homoglyph,ad-academnie.nl,,
homoglyph,ad-acaden1e.nl,,
homoglyph,ad-acadenic.nl,,
homoglyph,ad-acadenie.nl,,
homoglyph,ad-acadenle.nl,,
homoglyph,ad-acadenmie.nl,,
homoglyph,ad-acadenn1e.nl,,
homoglyph,ad-acadennic.nl,,
homoglyph,ad-acadennie.nl,,
homoglyph,ad-acadennle.nl,,
homoglyph,ad-acadenrie.nl,,
homoglyph,ad-acaderie.nl,,
homoglyph,ad-acadermie.nl,,
homoglyph,ad-acadern1e.nl,,
homoglyph,ad-acadernic.nl,,
homoglyph,ad-acadernie.nl,,
homoglyph,ad-acadernle.nl,,
homoglyph,ad-acaderrie.nl,,
homoglyph,ad-acadiemie.nl,,
homoglyph,ad-acadlcmie.nl,,
homoglyph,ad-acadlem1e.nl,,
homoglyph,ad-acadlemic.nl,,
homoglyph,ad-acadlemie.nl,,
homoglyph,ad-acadlemle.nl,,
homoglyph,ad-acadlenie.nl,,
homoglyph,ad-acadlennie.nl,,
homoglyph,ad-acadlernie.nl,,
homoglyph,ad-acadllemie.nl,,
homoglyph,ad-acaelemie.nl,,
homoglyph,ad-acalbemie.nl,,
homoglyph,ad-aeabemie.nl,,
homoglyph,ad-aeaclemie.nl,,
homoglyph,ad-aeadcmie.nl,,
homoglyph,ad-aeadem1e.nl,,
homoglyph,ad-aeademic.nl,,
homoglyph,ad-aeademie.nl,,
homoglyph,ad-aeademle.nl,,
homoglyph,ad-aeadenie.nl,,
homoglyph,ad-aeadennie.nl,,
homoglyph,ad-aeadernie.nl,,
homoglyph,ad-aeadlemie.nl,,
homoglyph,adl-acabemie.nl,,
homoglyph,adl-acaclemie.nl,,
homoglyph,adl-acadcmie.nl,,
homoglyph,adl-academ1e.nl,,
homoglyph,adl-academic.nl,,
homoglyph,adl-academle.nl,,
homoglyph,adl-acadenie.nl,,
homoglyph,adl-acadennie.nl,,
homoglyph,adl-acadernie.nl,,
homoglyph,adl-acadlemie.nl,,
homoglyph,adl-aeademie.nl,,
homoglyph,adll-academie.nl,,
homoglyph,ael-academie.nl,,
homoglyph,alb-academie.nl,,
hyphenation,a-d-academie.nl,,
hyphenation,ad--academie.nl,,
hyphenation,ad-a-cademie.nl,,
hyphenation,ad-ac-ademie.nl,,
hyphenation,ad-aca-demie.nl,,
hyphenation,ad-acad-emie.nl,,
hyphenation,ad-acade-mie.nl,,
hyphenation,ad-academ-ie.nl,,
hyphenation,ad-academi-e.nl,,
insertion,1ad-academie.nl,,
insertion,2ad-academie.nl,,
insertion,a1d-academie.nl,,
insertion,a2d-academie.nl,,
insertion,acd-academie.nl,,
insertion,ad-1academie.nl,,
insertion,ad-2academie.nl,,
insertion,ad-a1cademie.nl,,
insertion,ad-a2cademie.nl,,
insertion,ad-ac1ademie.nl,,
insertion,ad-ac2ademie.nl,,
insertion,ad-aca1demie.nl,,
insertion,ad-aca2demie.nl,,
insertion,ad-acacdemie.nl,,
insertion,ad-acad3emie.nl,,
insertion,ad-acad4emie.nl,,
insertion,ad-acadcemie.nl,,
insertion,ad-acaddemie.nl,,
insertion,ad-acade3mie.nl,,
insertion,ad-acade4mie.nl,,
insertion,ad-acadedmie.nl,,
insertion,ad-acadeemie.nl,,
insertion,ad-acadejmie.nl,,
insertion,ad-acadekmie.nl,,
insertion,ad-acadelmie.nl,,
insertion,ad-academ8ie.nl,,
insertion,ad-academ9ie.nl,,
insertion,ad-academi8e.nl,,
insertion,ad-academi9e.nl,,
insertion,ad-academije.nl,,
insertion,ad-academike.nl,,
insertion,ad-academioe.nl,,
insertion,ad-academiue.nl,,
insertion,ad-academjie.nl,,
insertion,ad-academkie.nl,,
insertion,ad-academlie.nl,,
insertion,ad-academoie.nl,,
insertion,ad-academpie.nl,,
insertion,ad-academuie.nl,,
insertion,ad-acadepmie.nl,,
insertion,ad-acadesmie.nl,,
insertion,ad-acadewmie.nl,,
insertion,ad-acadezmie.nl,,
insertion,ad-acadfemie.nl,,
insertion,ad-acadremie.nl,,
insertion,ad-acadsemie.nl,,
insertion,ad-acadwemie.nl,,
insertion,ad-acadxemie.nl,,
insertion,ad-acadzemie.nl,,
insertion,ad-acaedemie.nl,,
insertion,ad-acafdemie.nl,,
insertion,ad-acaqdemie.nl,,
insertion,ad-acardemie.nl,,
insertion,ad-acasdemie.nl,,
insertion,ad-acawdemie.nl,,
insertion,ad-acaxdemie.nl,,
insertion,ad-acaydemie.nl,,
insertion,ad-acazdemie.nl,,
insertion,ad-acdademie.nl,,
insertion,ad-acfademie.nl,,
insertion,ad-acqademie.nl,,
insertion,ad-acsademie.nl,,
insertion,ad-acvademie.nl,,
insertion,ad-acwademie.nl,,
insertion,ad-acxademie.nl,,
insertion,ad-acyademie.nl,,
insertion,ad-aczademie.nl,,
insertion,ad-adcademie.nl,,
insertion,ad-afcademie.nl,,
insertion,ad-aqcademie.nl,,
insertion,ad-ascademie.nl,,
insertion,ad-avcademie.nl,,
insertion,ad-awcademie.nl,,
insertion,ad-axcademie.nl,,
insertion,ad-aycademie.nl,,
insertion,ad-azcademie.nl,,
insertion,ad-qacademie.nl,,
insertion,ad-sacademie.nl,,
insertion,ad-wacademie.nl,,
insertion,ad-yacademie.nl,,
insertion,ad-zacademie.nl,,
insertion,aed-academie.nl,,
insertion,afd-academie.nl,,
insertion,aqd-academie.nl,,
insertion,ard-academie.nl,,
insertion,asd-academie.nl,,
insertion,awd-academie.nl,,
insertion,axd-academie.nl,,
insertion,ayd-academie.nl,,
insertion,azd-academie.nl,,
insertion,qad-academie.nl,,
insertion,sad-academie.nl,,
insertion,wad-academie.nl,,
insertion,yad-academie.nl,,
insertion,zad-academie.nl,,
omission,a-academie.nl,,
omission,ad-aademie.nl,,
omission,ad-acadeie.nl,,
omission,ad-academe.nl,,
omission,ad-academi.nl,,
omission,ad-acadmie.nl,,
omission,ad-acaemie.nl,,
omission,ad-acdemie.nl,,
omission,ad-cademie.nl,,
omission,adacademie.nl,,
omission,d-academie.nl,,
plural,ad-academsie.nl,,
repetition,aad-academie.nl,,
repetition,ad-aacademie.nl,,
repetition,ad-acaademie.nl,,
repetition,ad-academiie.nl,,
repetition,ad-accademie.nl,,
replacement,1d-academie.nl,,
replacement,2d-academie.nl,,
replacement,ac-academie.nl,,
replacement,ad-1cademie.nl,,
replacement,ad-2cademie.nl,,
replacement,ad-ac1demie.nl,,
replacement,ad-ac2demie.nl,,
replacement,ad-acacemie.nl,,
replacement,ad-acad3mie.nl,,
replacement,ad-acad4mie.nl,,
replacement,ad-acadejie.nl,,
replacement,ad-acadekie.nl,,
replacement,ad-academ8e.nl,,
replacement,ad-academ9e.nl,,
replacement,ad-academi3.nl,,
replacement,ad-academi4.nl,,
replacement,ad-academir.nl,,
replacement,ad-academis.nl,,
replacement,ad-academiw.nl,,
replacement,ad-academiz.nl,,
replacement,ad-academje.nl,,
replacement,ad-academoe.nl,,
replacement,ad-academue.nl,,
replacement,ad-acadepie.nl,,
replacement,ad-acadrmie.nl,,
replacement,ad-acadsmie.nl,,
replacement,ad-acadwmie.nl,,
replacement,ad-acadzmie.nl,,
replacement,ad-acaremie.nl,,
replacement,ad-acasemie.nl,,
replacement,ad-acaxemie.nl,,
replacement,ad-acsdemie.nl,,
replacement,ad-acwdemie.nl,,
replacement,ad-acydemie.nl,,
replacement,ad-aczdemie.nl,,
replacement,ad-adademie.nl,,
replacement,ad-afademie.nl,,
replacement,ad-avademie.nl,,
replacement,ad-axademie.nl,,
replacement,ad-scademie.nl,,
replacement,ad-wcademie.nl,,
replacement,ad-ycademie.nl,,
replacement,ad-zcademie.nl,,
replacement,ar-academie.nl,,
replacement,as-academie.nl,,
replacement,ax-academie.nl,,
replacement,sd-academie.nl,77.111.243.59,2a02:2350:5:10f:80da:80cb:30f4:d382
replacement,wd-academie.nl,,
replacement,yd-academie.nl,,
replacement,zd-academie.nl,,
subdomain,a.d-academie.nl,,
subdomain,ad-a.cademie.nl,,
subdomain,ad-ac.ademie.nl,,
subdomain,ad-acad.emie.nl,!ServFail,
subdomain,ad-aca.demie.nl,142.132.181.81,2a01:4f8:1c17:fa73::1
subdomain,ad-acade.mie.nl,,
subdomain,ad-academ.ie.nl,35.204.113.231,
transposition,a-dacademie.nl,,
transposition,ad-aacdemie.nl,,
transposition,ad-acadeime.nl,,
transposition,ad-academei.nl,,
transposition,ad-acadmeie.nl,,
transposition,ad-acaedmie.nl,,
transposition,ad-acdaemie.nl,,
transposition,ad-caademie.nl,,
transposition,ada-cademie.nl,,
transposition,da-academie.nl,,
various,ad-academie-nl.com,,
various,ad-academienl.com,,
various,ad-academienl.nl,,
vowel-swap,ad-academee.nl,,
vowel-swap,ad-academii.nl,,
vowel-swap,ad-academio.nl,,
vowel-swap,ad-acadimie.nl,,
vowel-swap,ad-acadomie.nl,,
vowel-swap,ad-acodemie.nl,,
vowel-swap,ad-acudemie.nl,,
vowel-swap,ad-ocademie.nl,,
vowel-swap,ad-ucademie.nl,,
vowel-swap,od-academie.nl,,
vowel-swap,ud-academie.nl,,
*original,avans.nl,192.87.130.27,2001:610:1a0:1530:192:87:130:27
addition,avans0.nl,,
addition,avans1.nl,,
addition,avans2.nl,,
addition,avans3.nl,,
addition,avans4.nl,,
addition,avans5.nl,,
addition,avans6.nl,,
addition,avans7.nl,,
addition,avans8.nl,,
addition,avans9.nl,,
addition,avansa.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
addition,avansb.nl,,
addition,avansc.nl,,
addition,avansd.nl,,
addition,avanse.nl,,
addition,avansf.nl,,
addition,avansg.nl,,
addition,avansh.nl,,
addition,avansi.nl,,
addition,avansj.nl,,
addition,avansk.nl,,
addition,avansl.nl,,
addition,avansm.nl,,
addition,avansn.nl,,
addition,avanso.nl,45.152.250.24,2a12:5040:1:303:be24:11ff:fe24:ef6e
addition,avansp.nl,,
addition,avansq.nl,,
addition,avansr.nl,,
addition,avanss.nl,,
addition,avanst.nl,,
addition,avansu.nl,,
addition,avansv.nl,,
addition,avansw.nl,,
addition,avansx.nl,,
addition,avansy.nl,,
addition,avansz.nl,,
bitsquatting,a6ans.nl,,
bitsquatting,afans.nl,,
bitsquatting,arans.nl,,
bitsquatting,atans.nl,,
bitsquatting,avafs.nl,,
bitsquatting,avajs.nl,,
bitsquatting,avals.nl,,
bitsquatting,avan3.nl,,
bitsquatting,avanc.nl,77.111.243.53,2a02:2350:5:10f:80ac:eddf:3870:8ce2
bitsquatting,avanq.nl,,
bitsquatting,avanr.nl,141.138.169.254,2a03:3c00:a002:250::1103
bitsquatting,avanw.nl,81.169.145.157,2a01:238:20a:202:1157::
bitsquatting,avaos.nl,,
bitsquatting,avcns.nl,,
bitsquatting,avens.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
bitsquatting,avins.nl,,
bitsquatting,avqns.nl,,
bitsquatting,awans.nl,,
bitsquatting,cvans.nl,,
bitsquatting,evans.nl,212.7.205.228,
bitsquatting,ivans.nl,81.169.145.84,2a01:238:20a:202:1084::
bitsquatting,qvans.nl,,
homoglyph,auams.nl,,
homoglyph,auans.nl,,
homoglyph,auars.nl,,
homoglyph,avams.nl,,
homoglyph,avanns.nl,,
homoglyph,avarns.nl,,
homoglyph,avars.nl,,
hyphenation,a-vans.nl,86.105.244.1,2a01:7c8:e100:1::50a0
hyphenation,av-ans.nl,,
hyphenation,ava-ns.nl,,
hyphenation,avan-s.nl,,
insertion,1avans.nl,,
insertion,2avans.nl,,
insertion,a1vans.nl,185.182.56.12,
insertion,a2vans.nl,,
insertion,abvans.nl,,
insertion,acvans.nl,,
insertion,afvans.nl,,
insertion,agvans.nl,,
insertion,aqvans.nl,,
insertion,asvans.nl,,
insertion,av1ans.nl,,
insertion,av2ans.nl,,
insertion,ava1ns.nl,,
insertion,ava2ns.nl,,
insertion,avabns.nl,,
insertion,avahns.nl,,
insertion,avajns.nl,,
insertion,avamns.nl,,
insertion,avanbs.nl,,
insertion,avanhs.nl,,
insertion,avanjs.nl,,
insertion,avanms.nl,,
insertion,avaqns.nl,,
insertion,avasns.nl,,
insertion,avawns.nl,,
insertion,avayns.nl,,
insertion,avazns.nl,,
insertion,avbans.nl,,
insertion,avcans.nl,,
insertion,avfans.nl,,
insertion,avgans.nl,,
insertion,avqans.nl,,
insertion,avsans.nl,,
insertion,avwans.nl,,
insertion,avyans.nl,,
insertion,avzans.nl,,
insertion,awvans.nl,,
insertion,ayvans.nl,,
insertion,azvans.nl,,
insertion,qavans.nl,,
insertion,savans.nl,,
insertion,wavans.nl,,
insertion,yavans.nl,,
insertion,zavans.nl,,
omission,aans.nl,128.140.120.79,2a01:4f8:c013:b062::1
omission,avns.nl,145.131.10.225,2001:678:76c:3760:301::8
omission,vans.nl,184.31.128.144,
omission,avan.nl,185.224.89.54,
omission,avas.nl,37.97.191.31,
repetition,aavans.nl,,
repetition,avaans.nl,,
repetition,avvans.nl,,
replacement,1vans.nl,,
replacement,2vans.nl,,
replacement,abans.nl,,
replacement,acans.nl,,
replacement,agans.nl,,
replacement,av1ns.nl,,
replacement,av2ns.nl,,
replacement,avabs.nl,,
replacement,avahs.nl,,
replacement,avana.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
replacement,avane.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
replacement,avanz.nl,185.135.240.13,
replacement,avand.nl,87.236.98.55,
replacement,avanx.nl,,
replacement,avany.nl,5.157.84.69,
replacement,avsns.nl,,
replacement,avwns.nl,,
replacement,avyns.nl,,
replacement,avzns.nl,,
replacement,svans.nl,213.206.254.53,
replacement,wvans.nl,,
replacement,yvans.nl,,
replacement,zvans.nl,,
subdomain,a.vans.nl,,
subdomain,av.ans.nl,,
subdomain,ava.ns.nl,,
transposition,aavns.nl,,
transposition,avasn.nl,,
transposition,avnas.nl,,
transposition,vaans.nl,,
various,avans-nl.com,,
various,avansnl.com,,
various,avansnl.nl,,
vowel-swap,avons.nl,,
vowel-swap,avuns.nl,,
vowel-swap,ovans.nl,,
vowel-swap,uvans.nl,,
*original,mnext.nl,162.159.135.42,
addition,mnext0.nl,,
addition,mnext1.nl,,
addition,mnext2.nl,,
addition,mnext3.nl,,
addition,mnext4.nl,,
addition,mnext5.nl,,
addition,mnext6.nl,,
addition,mnext7.nl,,
addition,mnext8.nl,,
addition,mnext9.nl,,
addition,mnexta.nl,,
addition,mnextb.nl,,
addition,mnextc.nl,,
addition,mnextd.nl,,
addition,mnexte.nl,,
addition,mnextf.nl,,
addition,mnextg.nl,,
addition,mnexth.nl,,
addition,mnexti.nl,,
addition,mnextj.nl,,
addition,mnextk.nl,,
addition,mnextl.nl,,
addition,mnextm.nl,,
addition,mnextn.nl,,
addition,mnexto.nl,,
addition,mnextp.nl,,
addition,mnextq.nl,,
addition,mnextr.nl,,
addition,mnexts.nl,,
addition,mnextt.nl,,
addition,mnextu.nl,,
addition,mnextv.nl,,
addition,mnextw.nl,,
addition,mnextx.nl,,
addition,mnexty.nl,,
addition,mnextz.nl,,
bitsquatting,inext.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
bitsquatting,enext.nl,162.159.128.70,
bitsquatting,lnext.nl,,
bitsquatting,mfext.nl,,
bitsquatting,mjext.nl,,
bitsquatting,mlext.nl,,
bitsquatting,mnaxt.nl,,
bitsquatting,mndxt.nl,,
bitsquatting,mne8t.nl,,
bitsquatting,mneht.nl,,
bitsquatting,mnept.nl,,
bitsquatting,mnex4.nl,,
bitsquatting,mnexd.nl,,
bitsquatting,mnexp.nl,,
bitsquatting,mnexu.nl,,
bitsquatting,mnexv.nl,,
bitsquatting,mneyt.nl,,
bitsquatting,mnezt.nl,,
bitsquatting,mngxt.nl,,
bitsquatting,mnmxt.nl,,
bitsquatting,mnuxt.nl,,
bitsquatting,moext.nl,,
bitsquatting,onext.nl,99.83.161.153,
homoglyph,mmcxt.nl,,
homoglyph,mmext.nl,,
homoglyph,mmnext.nl,,
homoglyph,mncxt.nl,,
homoglyph,mnnext.nl,,
homoglyph,mrcxt.nl,,
homoglyph,mrext.nl,,
homoglyph,mrnext.nl,,
homoglyph,nmext.nl,,
homoglyph,nmmext.nl,,
homoglyph,nmnext.nl,,
homoglyph,nncxt.nl,,
homoglyph,nnext.nl,165.160.13.20,
homoglyph,nnmext.nl,,
homoglyph,nnncxt.nl,,
homoglyph,nnnext.nl,165.160.13.20,
homoglyph,nnnnext.nl,,
homoglyph,nnrext.nl,,
homoglyph,nrext.nl,,
homoglyph,nrnext.nl,,
homoglyph,nrrext.nl,,
homoglyph,rmmext.nl,,
homoglyph,rmnext.nl,,
homoglyph,rnext.nl,213.144.239.28,
homoglyph,rnmext.nl,,
homoglyph,rnncxt.nl,,
homoglyph,rnnext.nl,,
homoglyph,rnrext.nl,,
homoglyph,rnrnext.nl,,
homoglyph,rrext.nl,,
homoglyph,rrnext.nl,,
homoglyph,rrrext.nl,,
hyphenation,m-next.nl,213.207.89.82,
hyphenation,mn-ext.nl,,
hyphenation,mne-xt.nl,,
hyphenation,mnex-t.nl,,
insertion,jmnext.nl,,
insertion,kmnext.nl,,
insertion,lmnext.nl,,
insertion,mbnext.nl,15.197.148.33,
insertion,mhnext.nl,,
insertion,mjnext.nl,,
insertion,mknext.nl,,
insertion,mlnext.nl,,
insertion,mn3ext.nl,,
insertion,mn4ext.nl,,
insertion,mnbext.nl,,
insertion,mndext.nl,,
insertion,mne3xt.nl,,
insertion,mne4xt.nl,,
insertion,mnecxt.nl,,
insertion,mnedxt.nl,,
insertion,mnerxt.nl,,
insertion,mnesxt.nl,,
insertion,mnewxt.nl,,
insertion,mnexct.nl,,
insertion,mnexdt.nl,,
insertion,mnexst.nl,,
insertion,mnexwt.nl,,
insertion,mnexyt.nl,,
insertion,mnexzt.nl,,
insertion,mneyxt.nl,,
insertion,mnezxt.nl,,
insertion,mnhext.nl,,
insertion,mnjext.nl,,
insertion,mnmext.nl,,
insertion,mnrext.nl,,
insertion,mnsext.nl,,
insertion,mnwext.nl,,
insertion,mnzext.nl,,
insertion,mpnext.nl,,
insertion,pmnext.nl,,
omission,mnet.nl,128.140.120.79,2a01:4f8:c013:b062::1
omission,mnex.nl,149.210.136.180,2a01:7c8:aab2:1a5:5054:ff:fefc:478a
omission,mext.nl,77.241.81.229,2a00:1c98:1000:1124:0:1:eb06:6c04
omission,mnxt.nl,,
omission,next.nl,,
repetition,mneext.nl,,
repetition,mnexxt.nl,,
replacement,jnext.nl,,
replacement,knext.nl,,
replacement,mbext.nl,,
replacement,mhext.nl,,
replacement,mn3xt.nl,,
replacement,mn4xt.nl,,
replacement,mnect.nl,,
replacement,mnedt.nl,,
replacement,mnest.nl,,
replacement,mnewt.nl,,
replacement,mnex5.nl,,
replacement,mnex6.nl,,
replacement,mnexf.nl,,
replacement,mnexg.nl,,
replacement,mnexr.nl,,
replacement,mnexy.nl,,
replacement,mnexz.nl,,
replacement,mnrxt.nl,,
replacement,mnsxt.nl,,
replacement,mnwxt.nl,,
replacement,mnzxt.nl,,
replacement,pnext.nl,91.184.0.200,2a02:2268:1:0:f816:3eff:fe7b:63c6
subdomain,m.next.nl,,
subdomain,mne.xt.nl,45.82.188.15,
subdomain,mn.ext.nl,85.10.159.163,2a01:7c8:f0:10e1:0:1:2d4e:9176
transposition,menxt.nl,,
transposition,mnetx.nl,,
transposition,mnxet.nl,,
various,mnext-nl.com,,
various,mnextnl.com,,
various,mnextnl.nl,,
vowel-swap,mnixt.nl,,
vowel-swap,mnoxt.nl,,
